sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
44;71;2024-07-10 13:32:35.749;1720618355749;2024-07-10 13:32:35.750;1720618355750;1;1.4;0.01999998;2024-07-10 13:32:35.750;1720618355750;0;
45;72;2024-07-10 13:32:35.750;1720618355750;2024-07-10 13:32:35.777;1720618355777;27;1.42;0.01999998;2024-07-10 13:32:35.777;1720618355777;0;
46;73;2024-07-10 13:32:35.777;1720618355777;2024-07-10 13:32:35.806;1720618355806;29;1.44;0.01999998;2024-07-10 13:32:35.806;1720618355806;0;
46;74;2024-07-10 13:32:35.806;1720618355806;2024-07-10 13:32:35.806;1720618355806;0;1.46;0.01999998;2024-07-10 13:32:35.806;1720618355806;0;
47;75;2024-07-10 13:32:35.807;1720618355807;2024-07-10 13:32:35.831;1720618355831;25;1.48;0.0200001;2024-07-10 13:32:35.831;1720618355831;0;
47;76;2024-07-10 13:32:35.831;1720618355831;2024-07-10 13:32:35.833;1720618355833;2;1.5;0.01999998;2024-07-10 13:32:35.833;1720618355833;0;
48;77;2024-07-10 13:32:35.833;1720618355833;2024-07-10 13:32:35.873;1720618355873;40;1.52;0.01999998;2024-07-10 13:32:35.873;1720618355873;0;
49;78;2024-07-10 13:32:35.873;1720618355873;2024-07-10 13:32:35.902;1720618355902;29;1.54;0.01999998;2024-07-10 13:32:35.902;1720618355902;0;
49;79;2024-07-10 13:32:35.902;1720618355902;2024-07-10 13:32:35.903;1720618355903;1;1.56;0.01999998;2024-07-10 13:32:35.903;1720618355903;0;
50;80;2024-07-10 13:32:35.903;1720618355903;2024-07-10 13:32:35.944;1720618355944;41;1.58;0.01999998;2024-07-10 13:32:35.944;1720618355944;0;
50;81;2024-07-10 13:32:35.944;1720618355944;2024-07-10 13:32:35.944;1720618355944;0;1.6;0.01999998;2024-07-10 13:32:35.944;1720618355944;0;
51;82;2024-07-10 13:32:35.944;1720618355944;2024-07-10 13:32:35.971;1720618355971;27;1.62;0.0200001;2024-07-10 13:32:35.971;1720618355971;0;
52;83;2024-07-10 13:32:35.971;1720618355971;2024-07-10 13:32:36.012;1720618356012;41;1.64;0.01999998;2024-07-10 13:32:36.012;1720618356012;0;
52;84;2024-07-10 13:32:36.012;1720618356012;2024-07-10 13:32:36.013;1720618356013;1;1.66;0.01999998;2024-07-10 13:32:36.013;1720618356013;0;
53;85;2024-07-10 13:32:36.013;1720618356013;2024-07-10 13:32:36.082;1720618356082;69;1.68;0.01999998;2024-07-10 13:32:36.082;1720618356082;0;
53;86;2024-07-10 13:32:36.082;1720618356082;2024-07-10 13:32:36.083;1720618356083;1;1.7;0.01999998;2024-07-10 13:32:36.083;1720618356083;0;
54;87;2024-07-10 13:32:36.083;1720618356083;2024-07-10 13:32:36.110;1720618356110;27;1.72;0.01999998;2024-07-10 13:32:36.110;1720618356110;0;
55;88;2024-07-10 13:32:36.110;1720618356110;2024-07-10 13:32:36.137;1720618356138;27;1.74;0.0200001;2024-07-10 13:32:36.138;1720618356137;0;
55;89;2024-07-10 13:32:36.138;1720618356138;2024-07-10 13:32:36.138;1720618356138;1;1.76;0.01999998;2024-07-10 13:32:36.138;1720618356138;0;
